hypothesis_id,source,failure_class,feature_layer,feature,metric,family,lane,bit,control_bit,evidence,matched_pair_support,recommended_intervention,status
HD-014,transition_delta,transition_specific,sdf,direct_max__idelay_data_cntvaluein__lane1__dq11__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq11,0,fail_to_pass median -368.0 vs pass_to_fail median -1.0; contrast 367.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-015,transition_delta,transition_specific,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,fail_to_pass median 45.0 vs pass_to_fail median -316.0; contrast -361.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-016,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,fail_to_pass median 15.0 vs pass_to_fail median 374.0; contrast 359.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-017,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,fail_to_pass median 63.5 vs pass_to_fail median 448.5; contrast 385.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-018,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,0,fail_to_pass median 117.5 vs pass_to_fail median -391.0; contrast -508.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-019,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,fail_to_pass median 104.5 vs pass_to_fail median -395.0; contrast -499.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-020,transition_delta,transition_specific,sdf,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_1__endpoint__value_ps,direct_max,idelay_dqs_cntvaluein,lane0,dqs0,1,fail_to_pass median -2.0 vs pass_to_fail median 349.5; contrast 351.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-021,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,0,fail_to_pass median 173.0 vs pass_to_fail median -293.5; contrast -466.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-022,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,3,fail_to_pass median -83.0 vs pass_to_fail median 326.0; contrast 409.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-023,transition_delta,transition_specific,sdf,direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,0,fail_to_pass median -461.5 vs pass_to_fail median -129.5; contrast 332.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-024,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,3,fail_to_pass median -105.0 vs pass_to_fail median 307.0; contrast 412.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-025,transition_delta,transition_specific,sdf,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,fail_to_pass median 255.0 vs pass_to_fail median -74.5; contrast -329.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-026,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,fail_to_pass median -30.0 vs pass_to_fail median 429.5; contrast 459.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-027,transition_delta,transition_specific,sdf,direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,0,fail_to_pass median -288.0 vs pass_to_fail median 35.5; contrast 323.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-028,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,2,fail_to_pass median -33.5 vs pass_to_fail median 323.5; contrast 357.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-029,transition_delta,transition_specific,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,fail_to_pass median -296.75 vs pass_to_fail median 179.25; contrast 476.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-030,transition_delta,transition_specific,skew,signed_dqs_minus_dq_median__iologic_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,iologic_skew,lane1,dqs1,,fail_to_pass median -11.25 vs pass_to_fail median 437.25; contrast 448.5,43,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-031,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,0,fail_to_pass median 160.0 vs pass_to_fail median -313.5; contrast -473.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-032,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,0,fail_to_pass median 162.5 vs pass_to_fail median -257.5; contrast -420.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-033,transition_delta,transition_specific,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,fail_to_pass median 44.0 vs pass_to_fail median -259.0; contrast -303.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-034,transition_delta,transition_specific,sdf,direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq12,0,fail_to_pass median -344.0 vs pass_to_fail median -42.0; contrast 302.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-035,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,2,fail_to_pass median 254.0 vs pass_to_fail median -170.5; contrast -424.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-036,transition_delta,transition_specific,sdf,direct_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq7,,fail_to_pass median -116.0 vs pass_to_fail median -417.5; contrast -301.5,43,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-037,transition_delta,transition_specific,skew,signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,1,fail_to_pass median -114.0 vs pass_to_fail median -461.0; contrast -347.0,43,RTL stable-before-LD intervention: shadow CNTVALUEIN locally and assert LD only after a fixed stable window.,hypothesis_generated
HD-038,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,fail_to_pass median 183.0 vs pass_to_fail median -227.0; contrast -410.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-039,transition_delta,transition_specific,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,fail_to_pass median 47.5 vs pass_to_fail median -304.25; contrast -351.75,43,RTL stable-before-LD intervention: shadow CNTVALUEIN locally and assert LD only after a fixed stable window.,hypothesis_generated
HD-040,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,0,fail_to_pass median 163.5 vs pass_to_fail median -256.0; contrast -419.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-041,delta_threshold_rule,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,3,ge_pass_to_fail threshold 81.0; balanced_accuracy 0.838889; errors 5/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-042,delta_threshold_rule,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,le_pass_to_fail threshold -139.0; balanced_accuracy 0.816667; errors 5/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-043,delta_threshold_rule,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,0,le_pass_to_fail threshold -2.5; balanced_accuracy 0.811111; errors 6/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-044,delta_threshold_rule,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,0,le_pass_to_fail threshold -178.5; balanced_accuracy 0.794444; errors 5/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-045,delta_threshold_rule,transition_specific,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,le_pass_to_fail threshold -25.5; balanced_accuracy 0.783333; errors 7/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-046,delta_threshold_rule,transition_specific,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,le_pass_to_fail threshold 30.5; balanced_accuracy 0.783333; errors 7/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-047,delta_threshold_rule,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,le_pass_to_fail threshold 175.0; balanced_accuracy 0.783333; errors 7/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-048,delta_threshold_rule,transition_specific,skew,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,ge_pass_to_fail threshold -19.5; balanced_accuracy 0.783333; errors 7/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-049,delta_threshold_rule,transition_specific,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,ge_pass_to_fail threshold -256.0; balanced_accuracy 0.777778; errors 8/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-050,delta_threshold_rule,transition_specific,skew,ld_dq_lane_range__idelay_ld_skew__lane1__no_bit__ctrl_none__dq_lane__value_ps,ld_dq_lane_range,idelay_ld_skew,lane1,,,ge_pass_to_fail threshold 94.0; balanced_accuracy 0.772222; errors 5/28,28,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-051,delta_threshold_rule,transition_specific,sdf,direct_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq7,,le_pass_to_fail threshold -324.5; balanced_accuracy 0.766667; errors 6/28,28,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-052,delta_threshold_rule,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,0,le_pass_to_fail threshold -248.0; balanced_accuracy 0.766667; errors 6/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-053,delta_threshold_rule,transition_specific,sdf,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,le_pass_to_fail threshold 17.0; balanced_accuracy 0.761111; errors 7/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-054,delta_threshold_rule,transition_specific,sdf,direct_max__idelayctrl__all__no_bit__ctrl_none__endpoint__value_ps,direct_max,idelayctrl,all,,,le_pass_to_fail threshold -291.5; balanced_accuracy 0.761111; errors 7/28,28,Constrain or instrument IDELAYCTRL/reset release sequencing; verify reset leaves calibration only after IDELAYCTRL ready is stable.,hypothesis_generated
HD-055,delta_threshold_rule,transition_specific,sdf,lane_spread__idelayctrl__all__no_bit__ctrl_none__lane__value_ps,lane_spread,idelayctrl,all,,,le_pass_to_fail threshold -291.5; balanced_accuracy 0.761111; errors 7/28,28,Constrain or instrument IDELAYCTRL/reset release sequencing; verify reset leaves calibration only after IDELAYCTRL ready is stable.,hypothesis_generated
HD-056,delta_threshold_rule,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,3,ge_pass_to_fail threshold 56.0; balanced_accuracy 0.761111; errors 7/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-057,delta_threshold_rule,transition_specific,skew,signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,0,le_pass_to_fail threshold 92.25; balanced_accuracy 0.755556; errors 8/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-058,delta_threshold_rule,transition_specific,sdf,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq9,,le_pass_to_fail threshold -616.0; balanced_accuracy 0.75; errors 5/28,28,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-059,delta_threshold_rule,transition_specific,sdf,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq8__ctrl_none__dq8__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq8,,le_pass_to_fail threshold 499.0; balanced_accuracy 0.75; errors 9/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-060,delta_threshold_rule,transition_specific,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,2,le_pass_to_fail threshold 173.5; balanced_accuracy 0.75; errors 9/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-061,delta_threshold_rule,transition_specific,skew,abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_2__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,2,ge_pass_to_fail threshold 54.0; balanced_accuracy 0.744444; errors 6/28,28,RTL stable-before-LD intervention: shadow CNTVALUEIN locally and assert LD only after a fixed stable window.,hypothesis_generated
HD-062,delta_threshold_rule,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,le_pass_to_fail threshold -355.5; balanced_accuracy 0.744444; errors 6/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-063,delta_threshold_rule,transition_specific,sdf,cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,ge_pass_to_fail threshold 62.0; balanced_accuracy 0.733333; errors 8/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-064,delta_threshold_rule,transition_specific,sdf,lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_dqs_cntvaluein,lane0,,,ge_pass_to_fail threshold 62.0; balanced_accuracy 0.733333; errors 8/28,28,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-065,delta_threshold_rule,transition_specific,sdf,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq5,,le_pass_to_fail threshold 265.5; balanced_accuracy 0.727778; errors 9/28,28,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
