seed,hardware_transition,baseline_experiment_id,locked_experiment_id,baseline_pass,locked_pass,baseline_abort_reason,locked_abort_reason,locked_abort_reason_name,feature,metric,family,lane,bit,control_bit,scope,baseline_value_ps,locked_value_ps,delta_ps,baseline_abs_ps,locked_abs_ps,delta_abs_ps,baseline_sign,locked_sign,sign_flip,abs_improved,abs_worsened
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,3,dqs_vs_dq_bit,-184,653,837,184,653,469,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,4,dqs_vs_dq_bit,-110,628,738,110,628,518,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,0,dqs_vs_dq_bit,201,9,-192,201,9,-192,positive,positive,False,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,1,dqs_vs_dq_bit,-587,155,742,587,155,-432,negative,positive,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,dqs_vs_dq_bit,600,997,397,600,997,397,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,3,dqs_vs_dq_bit,-277,483,760,277,483,206,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,4,dqs_vs_dq_bit,-82,531,613,82,531,449,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,dqs_vs_dq_bit,423,-79,-502,423,79,-344,positive,negative,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,1,dqs_vs_dq_bit,-54,569,623,54,569,515,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,2,dqs_vs_dq_bit,696,1123,427,696,1123,427,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,3,dqs_vs_dq_bit,-100,738,838,100,738,638,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,4,dqs_vs_dq_bit,311,854,543,311,854,543,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,0,dqs_vs_dq_bit,285,-2,-287,285,2,-283,positive,negative,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,1,dqs_vs_dq_bit,-584,158,742,584,158,-426,negative,positive,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,dqs_vs_dq_bit,696,909,213,696,909,213,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,3,dqs_vs_dq_bit,-276,567,843,276,567,291,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,4,dqs_vs_dq_bit,-24,444,468,24,444,420,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,215,-77,-292,215,77,-138,positive,negative,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,1,dqs_vs_dq_bit,-108,484,592,108,484,376,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,2,dqs_vs_dq_bit,785,1071,286,785,1071,286,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,3,dqs_vs_dq_bit,28,653,625,28,653,625,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,4,dqs_vs_dq_bit,392,901,509,392,901,509,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,dqs_vs_dq_bit,304,-59,-363,304,59,-245,positive,negative,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,1,dqs_vs_dq_bit,-679,63,742,679,63,-616,negative,positive,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,2,dqs_vs_dq_bit,645,906,261,645,906,261,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,3,dqs_vs_dq_bit,-371,390,761,371,390,19,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,4,dqs_vs_dq_bit,132,436,304,132,436,304,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,117,-51,-168,117,51,-66,positive,negative,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,1,dqs_vs_dq_bit,-678,64,742,678,64,-614,negative,positive,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,dqs_vs_dq_bit,558,826,268,558,826,268,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,3,dqs_vs_dq_bit,-368,391,759,368,391,23,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,4,dqs_vs_dq_bit,43,444,401,43,444,401,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,0,dqs_vs_dq_bit,35,254,219,35,254,219,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,1,dqs_vs_dq_bit,-346,423,769,346,423,77,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,2,dqs_vs_dq_bit,814,869,55,814,869,55,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,-248,363,611,248,363,115,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,4,dqs_vs_dq_bit,-39,733,772,39,733,694,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,-33,335,368,33,335,302,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,1,dqs_vs_dq_bit,-252,459,711,252,459,207,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,2,dqs_vs_dq_bit,740,957,217,740,957,217,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,3,dqs_vs_dq_bit,-49,476,525,49,476,427,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,4,dqs_vs_dq_bit,189,913,724,189,913,724,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,0,dqs_vs_dq_bit,-49,254,303,49,254,205,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,1,dqs_vs_dq_bit,-259,342,601,259,342,83,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,2,dqs_vs_dq_bit,783,785,2,783,785,2,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,3,dqs_vs_dq_bit,-157,411,568,157,411,254,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,-125,737,862,125,737,612,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,-120,415,535,120,415,295,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,1,dqs_vs_dq_bit,-342,376,718,342,376,34,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,1008,1059,51,1008,1059,51,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,3,dqs_vs_dq_bit,-134,613,747,134,613,479,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,4,dqs_vs_dq_bit,184,825,641,184,825,641,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,0,dqs_vs_dq_bit,127,243,116,127,243,116,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,1,dqs_vs_dq_bit,-344,251,595,344,251,-93,negative,positive,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,dqs_vs_dq_bit,745,773,28,745,773,28,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,-141,325,466,141,325,184,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,4,dqs_vs_dq_bit,-209,825,1034,209,825,616,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,196,197,1,196,197,1,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,1,dqs_vs_dq_bit,80,252,172,80,252,172,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,2,dqs_vs_dq_bit,784,955,171,784,955,171,positive,positive,False,False,True
